Campus,Student_ID,Rank,Maths_GPA,Physics_GPA,Chem_GPA,PUC_GPA,Gender
Nuzvid,N230461,115,9.75,9.6,9.0,9.59,M
Nuzvid,N230778,116,9.75,9.2,9.2,9.59,F
Nuzvid,N230694,117,9.75,9.2,9.15,9.59,F
Nuzvid,N231024,118,9.5,9.15,9.6,9.59,F
Nuzvid,N230155,119,9.75,9.4,9.2,9.58,F
Nuzvid,N230961,120,9.5,10.0,9.2,9.58,M
Nuzvid,N230371,121,9.25,9.8,9.6,9.58,F
Nuzvid,N230740,122,9.0,9.8,9.4,9.58,F
Nuzvid,N230472,123,9.75,10.0,9.8,9.57,M
Nuzvid,N231032,124,9.75,10.0,9.15,9.57,M
Nuzvid,N230725,125,9.75,9.35,9.4,9.57,M
Nuzvid,N231075,126,9.25,9.8,9.6,9.57,F
Nuzvid,N230178,127,10.0,9.4,9.2,9.56,F
Nuzvid,N230102,128,9.75,9.6,8.75,9.56,M
Nuzvid,N230440,129,9.5,9.8,9.4,9.56,F
Nuzvid,N230637,130,10.0,10.0,9.2,9.55,M
Nuzvid,N230279,131,9.75,9.2,9.2,9.55,F
Nuzvid,N230172,132,9.75,9.0,9.4,9.55,F
Nuzvid,N230285,133,9.5,9.6,9.4,9.55,F
Nuzvid,N230013,134,10.0,9.6,9.1,9.54,M
Nuzvid,N230699,135,10.0,9.4,9.4,9.54,F
Nuzvid,N230097,136,9.75,9.55,9.0,9.54,F
Nuzvid,N230047,137,9.5,9.8,9.0,9.54,F
Nuzvid,N230767,138,9.5,9.6,9.4,9.54,F
Nuzvid,N231038,139,9.5,9.6,9.2,9.54,F
Nuzvid,N230352,140,9.5,9.4,9.0,9.54,F
Nuzvid,N230316,141,9.25,9.4,9.4,9.54,F
Nuzvid,N230421,142,9.75,9.6,9.4,9.53,F
Nuzvid,N230820,143,9.5,9.4,9.6,9.53,F
Nuzvid,N230032,144,10.0,9.6,8.95,9.52,F
Nuzvid,N230121,145,10.0,9.4,9.4,9.52,M
Nuzvid,N230713,146,10.0,9.4,9.0,9.52,F
Nuzvid,N230921,147,9.75,9.6,9.35,9.52,F
Nuzvid,N230457,148,9.5,9.8,9.2,9.52,M
Nuzvid,N230730,149,9.75,9.4,9.4,9.51,F
Nuzvid,N230640,150,9.75,9.4,9.2,9.51,F
Nuzvid,N230198,151,9.75,9.4,9.0,9.51,F
Nuzvid,N230466,152,9.5,9.8,8.75,9.51,F
Nuzvid,N230761,153,9.5,9.6,9.4,9.51,F
Nuzvid,N230227,154,9.25,9.6,9.4,9.51,M
Nuzvid,N230919,155,10.0,9.2,9.4,9.5,F
Nuzvid,N230424,156,9.25,9.6,9.4,9.5,F
Nuzvid,N230018,157,9.75,9.55,9.2,9.49,F
Nuzvid,N230636,158,9.5,9.6,9.0,9.49,F
Nuzvid,N230852,159,9.5,9.4,9.0,9.49,F
Nuzvid,N230105,160,10.0,9.15,9.15,9.48,F
Nuzvid,N230734,161,9.5,9.8,9.0,9.48,F
Nuzvid,N230629,162,9.5,9.2,9.2,9.48,F
Nuzvid,N230851,163,9.25,9.4,9.4,9.48,F
Nuzvid,N230845,164,10.0,9.55,8.6,9.47,F
Nuzvid,N230185,165,9.75,9.6,9.55,9.47,M
Nuzvid,N230655,166,9.75,9.0,8.8,9.47,F
Nuzvid,N230471,167,9.5,9.2,9.2,9.47,M
Nuzvid,N230523,168,9.25,9.6,8.8,9.47,M
Nuzvid,N230878,169,9.25,9.4,9.4,9.47,F
Nuzvid,N230485,170,9.25,9.4,9.2,9.47,M
Nuzvid,N230670,171,10.0,9.6,9.2,9.46,M
Nuzvid,N230758,172,9.75,9.4,9.2,9.46,F
Nuzvid,N230691,173,9.75,9.4,9.0,9.46,F
Nuzvid,N230003,174,9.75,9.2,9.2,9.46,M
Nuzvid,N230142,175,9.5,9.4,9.2,9.46,F
Nuzvid,N230222,176,9.5,9.4,9.2,9.46,F
Nuzvid,N230183,177,9.25,9.8,9.15,9.46,M
Nuzvid,N230865,178,9.25,9.4,9.2,9.46,F
Nuzvid,N230282,179,9.75,9.6,9.1,9.45,M
Nuzvid,N230193,180,9.75,9.4,9.0,9.45,F
Nuzvid,N230916,181,9.5,9.35,9.4,9.45,F
Nuzvid,N230054,182,9.0,9.55,9.2,9.45,F
Nuzvid,N230159,183,9.75,9.4,9.15,9.44,F
Nuzvid,N230585,184,9.75,9.2,8.8,9.44,F
Nuzvid,N230864,185,9.5,9.6,9.0,9.44,F
Nuzvid,N230189,186,9.5,9.4,8.95,9.44,M
Nuzvid,N230035,187,9.0,9.75,9.0,9.44,F
Nuzvid,N230506,188,9.0,9.4,9.2,9.44,F
Nuzvid,N230337,189,10.0,10.0,9.6,9.43,M
Nuzvid,N230913,190,10.0,9.2,9.0,9.43,F
Nuzvid,N230407,191,9.5,9.6,9.0,9.43,F
Nuzvid,N230288,192,9.25,9.8,9.2,9.43,M
Nuzvid,N230356,193,9.75,9.6,8.6,9.42,F
Nuzvid,N230671,194,9.75,9.0,9.0,9.42,F
Nuzvid,N230923,195,9.5,9.2,9.15,9.42,F
Nuzvid,N231091,196,10.0,9.1,8.75,9.41,F
Nuzvid,N230879,197,9.75,9.55,9.1,9.41,M
Nuzvid,N230529,198,9.75,9.4,9.0,9.41,F
Nuzvid,N230405,199,9.75,9.2,9.0,9.41,F
Nuzvid,N231031,200,9.5,9.6,9.0,9.41,F
Nuzvid,N230812,201,9.5,9.4,9.0,9.41,F
Nuzvid,N230062,202,9.25,9.4,9.2,9.41,F
Nuzvid,N230724,203,8.75,9.8,9.2,9.41,F
Nuzvid,N230302,204,9.5,9.6,9.0,9.4,F
Nuzvid,N230213,205,9.5,9.6,8.9,9.4,M
Nuzvid,N230103,206,9.5,9.6,9.0,9.39,F
Nuzvid,N230469,207,9.0,9.75,8.9,9.39,F
Nuzvid,N230920,208,9.0,9.6,9.4,9.39,F
Nuzvid,N230548,209,9.0,9.4,9.2,9.39,F
Nuzvid,N230268,210,9.0,9.4,9.0,9.39,F
Nuzvid,N230619,211,10.0,9.2,8.8,9.38,F
Nuzvid,N230624,212,9.5,9.6,8.8,9.38,M
Nuzvid,N230357,213,9.5,9.2,9.0,9.38,F
Nuzvid,N230630,214,9.25,9.6,8.8,9.38,F
Nuzvid,N231037,215,9.25,9.4,9.1,9.38,M
Nuzvid,N230201,216,8.75,9.4,9.2,9.38,F
Nuzvid,N230468,217,10.0,9.6,8.6,9.37,M
Nuzvid,N230553,218,9.75,9.2,9.0,9.37,M
Nuzvid,N230336,219,9.75,9.2,8.8,9.37,F
Nuzvid,N230791,220,9.75,9.0,9.2,9.37,F
Nuzvid,N230517,221,9.25,9.2,8.8,9.37,F
Nuzvid,N231003,222,9.0,9.6,8.6,9.37,F
Nuzvid,N231100,223,10.0,9.55,9.15,9.36,M
Nuzvid,N230310,224,9.75,9.2,9.0,9.36,M
Nuzvid,N230560,225,9.5,9.4,9.0,9.36,F
Nuzvid,N230167,226,9.5,9.2,8.8,9.36,F
Nuzvid,N230205,227,9.5,9.2,8.8,9.36,F
Nuzvid,N230715,228,9.25,9.8,9.35,9.36,M
Nuzvid,N230567,229,9.25,9.4,9.2,9.36,F
Nuzvid,N230005,230,9.25,9.4,8.75,9.36,M
Nuzvid,N230133,231,9.25,9.2,9.0,9.36,F
Nuzvid,N230160,232,9.25,9.0,8.95,9.36,F
Nuzvid,N230186,234,9.0,9.2,9.4,9.36,F
Nuzvid,N231094,235,8.75,9.6,9.4,9.36,M
Nuzvid,N230792,236,9.75,9.0,9.0,9.35,F
Nuzvid,N230071,237,9.5,9.35,9.0,9.35,F
Nuzvid,N230853,238,9.25,9.6,9.0,9.35,F
Nuzvid,N230910,239,9.0,9.4,9.2,9.35,F
Nuzvid,N230976,240,8.75,9.3,9.4,9.35,F
Nuzvid,N230835,241,8.25,9.6,9.2,9.35,F
Nuzvid,N230286,242,10.0,9.6,9.0,9.34,M
Nuzvid,N230532,243,9.75,9.0,9.0,9.34,F
Nuzvid,N230119,244,9.25,9.4,9.0,9.34,M
Nuzvid,N230076,245,9.25,9.4,8.6,9.34,F
Nuzvid,N230409,246,9.0,9.2,9.2,9.34,F
Nuzvid,N230594,247,9.0,9.0,9.2,9.34,M
Nuzvid,N230251,248,8.75,9.15,9.2,9.34,F
Nuzvid,N230068,249,10.0,9.4,9.05,9.33,M
Nuzvid,N230423,250,9.5,9.6,8.8,9.33,F
Nuzvid,N230306,251,9.5,9.4,9.0,9.33,M
Nuzvid,N230963,252,9.5,9.2,9.35,9.33,F
Nuzvid,N230808,253,9.5,9.2,8.75,9.33,M
Nuzvid,N230112,254,9.25,9.6,9.0,9.33,F
Nuzvid,N230001,256,9.5,9.2,8.55,9.32,M
Nuzvid,N230583,257,9.5,9.0,8.8,9.32,F
Nuzvid,N230482,258,9.25,9.4,9.0,9.32,F
Nuzvid,N230790,259,9.0,9.6,9.0,9.32,F
Nuzvid,N230810,260,9.0,9.4,8.8,9.32,F
Nuzvid,N230829,261,9.75,9.0,8.8,9.31,F
Nuzvid,N230441,262,9.75,8.95,8.6,9.31,M
Nuzvid,N230896,263,9.5,9.6,9.0,9.31,M
Nuzvid,N231054,264,9.5,9.6,8.55,9.31,M
Nuzvid,N230672,265,9.5,9.2,8.8,9.31,F
Nuzvid,N230120,266,9.5,9.2,8.6,9.31,F
Nuzvid,N230396,267,9.5,8.6,9.2,9.31,F
Nuzvid,N230881,268,9.25,9.4,9.0,9.31,F
Nuzvid,N230679,269,9.75,9.4,8.6,9.3,F
Nuzvid,N231052,270,9.5,9.55,9.35,9.3,M
Nuzvid,N230447,271,9.25,9.4,9.2,9.29,M
Nuzvid,N230175,272,8.75,9.4,9.2,9.29,F
Nuzvid,N230325,273,8.75,9.4,9.2,9.29,F
Nuzvid,N230784,274,8.5,9.2,9.0,9.29,F
Nuzvid,N230902,275,9.25,9.15,9.35,9.28,M
Nuzvid,N230361,276,9.25,9.0,9.0,9.28,F
Nuzvid,N230726,277,9.0,9.6,9.0,9.28,F
Nuzvid,N230526,278,9.0,9.4,8.6,9.28,F
Nuzvid,N230412,279,9.0,9.2,9.0,9.28,F
Nuzvid,N230959,280,8.75,9.4,9.2,9.28,F
Nuzvid,N230510,281,8.75,9.4,8.8,9.28,F
Nuzvid,N230832,282,8.75,9.0,8.8,9.28,F
Nuzvid,N230530,283,9.5,9.6,8.6,9.27,M
Nuzvid,N230308,284,9.25,9.6,8.9,9.27,M
Nuzvid,N230257,285,9.25,9.0,9.4,9.27,F
Nuzvid,N230748,286,8.5,9.6,9.0,9.27,F
Nuzvid,N230168,287,8.25,9.0,9.6,9.27,F
Nuzvid,N231025,288,9.0,9.4,8.8,9.26,F
Nuzvid,N230347,289,9.0,9.4,8.8,9.26,F
Nuzvid,N230007,290,8.75,9.6,8.95,9.26,M
Nuzvid,N230982,291,9.75,9.6,8.55,9.25,M
Nuzvid,N230513,292,9.75,9.15,8.4,9.25,F
Nuzvid,N230841,293,9.25,9.6,8.75,9.25,M
Nuzvid,N230099,294,9.25,8.95,9.0,9.25,F
Nuzvid,N230745,295,9.0,9.2,9.0,9.25,F
Nuzvid,N230061,296,9.75,9.1,8.6,9.24,F
Nuzvid,N231033,297,9.5,9.35,9.1,9.24,M
Nuzvid,N230078,298,9.0,9.6,8.4,9.24,F
Nuzvid,N230813,299,9.0,9.2,9.0,9.24,F
Nuzvid,N230927,300,9.0,9.0,8.75,9.24,F
Nuzvid,N230875,301,8.5,9.2,8.8,9.24,M
Nuzvid,N230675,302,8.25,9.2,9.2,9.24,F
Nuzvid,N230840,303,9.5,9.0,9.0,9.23,M
Nuzvid,N230161,304,9.0,9.2,8.8,9.23,F
Nuzvid,N230855,305,9.75,9.0,8.4,9.22,F
Nuzvid,N230839,306,9.5,9.4,8.6,9.22,F
Nuzvid,N230720,307,8.75,9.6,9.0,9.22,F
Nuzvid,N230314,308,8.25,9.4,9.0,9.22,F
Nuzvid,N230170,309,9.25,9.0,9.0,9.21,F
Nuzvid,N230131,310,9.0,9.2,9.0,9.21,F
Nuzvid,N230377,311,8.75,9.2,8.8,9.21,F
Nuzvid,N230085,312,9.5,9.2,9.2,9.2,M
Nuzvid,N230150,313,9.25,9.2,8.8,9.2,F
Nuzvid,N230045,314,8.75,9.15,9.0,9.2,F
Nuzvid,N230794,315,10.0,9.2,8.75,9.19,M
Nuzvid,N230738,316,9.25,9.4,8.6,9.19,F
Nuzvid,N230162,317,9.0,9.4,8.6,9.19,F
Nuzvid,N230118,318,9.0,9.0,9.2,9.19,F
Nuzvid,N230527,319,9.0,9.0,9.0,9.19,F
Nuzvid,N230024,320,8.5,9.1,9.0,9.19,F
Nuzvid,N230993,321,8.25,9.4,9.4,9.19,M
Nuzvid,N230577,322,9.5,9.4,8.8,9.18,M
Nuzvid,N230717,323,9.5,9.0,9.0,9.18,F
Nuzvid,N230065,324,9.25,9.2,7.95,9.18,F
Nuzvid,N231090,325,9.25,9.1,8.75,9.18,F
Nuzvid,N230098,326,9.25,9.0,8.8,9.18,F
Nuzvid,N230686,327,9.25,9.0,8.6,9.18,F
Nuzvid,N230807,328,8.75,9.4,8.6,9.18,F
Nuzvid,N230504,329,8.75,9.15,8.8,9.18,F
Nuzvid,N230154,330,8.75,9.0,9.2,9.18,F
Nuzvid,N230156,331,8.75,9.0,9.0,9.18,M
Nuzvid,N230220,332,9.75,9.2,8.4,9.17,F
Nuzvid,N230669,333,9.5,9.0,8.8,9.17,M
Nuzvid,N230427,334,9.25,9.4,8.6,9.17,M
Nuzvid,N231049,335,9.25,9.0,8.6,9.17,F
Nuzvid,N230059,336,9.0,9.35,8.4,9.17,F
Nuzvid,N230174,337,8.5,9.4,8.6,9.17,F
Nuzvid,N230487,338,9.5,9.4,7.8,9.16,M
Nuzvid,N230616,339,9.25,9.0,8.6,9.16,F
Nuzvid,N231026,340,9.25,8.7,9.2,9.16,F
Nuzvid,N230905,341,9.0,9.15,9.05,9.16,M
Nuzvid,N230395,342,9.0,9.0,8.8,9.16,F
Nuzvid,N230857,343,8.5,9.6,8.8,9.16,M
Nuzvid,N230861,344,8.25,9.0,9.0,9.16,M
Nuzvid,N230137,345,8.0,9.0,9.0,9.16,F
Nuzvid,N230998,346,10.0,8.8,8.5,9.15,M
Nuzvid,N230187,347,9.25,9.0,8.8,9.15,F
Nuzvid,N231061,348,9.25,8.9,8.75,9.15,F
Nuzvid,N230304,349,9.0,8.6,9.0,9.15,F
Nuzvid,N230365,350,8.75,9.4,9.0,9.15,F
Nuzvid,N230579,351,8.0,9.4,9.0,9.15,F
Nuzvid,N230318,352,9.75,9.2,8.55,9.14,M
Nuzvid,N230267,353,9.5,9.0,8.8,9.14,F
Nuzvid,N231014,354,9.25,9.15,8.8,9.14,F
Nuzvid,N230736,355,9.25,9.0,8.8,9.14,F
Nuzvid,N230276,356,9.0,9.0,8.8,9.14,F
Nuzvid,N230596,357,9.5,9.2,8.6,9.13,M
Nuzvid,N230491,358,9.5,8.8,8.55,9.13,F
Nuzvid,N230328,359,8.75,9.0,9.0,9.13,F
Nuzvid,N230292,360,8.5,8.6,9.0,9.13,F
Nuzvid,N230034,361,9.25,9.2,8.85,9.12,M
Nuzvid,N230080,362,9.25,9.15,8.6,9.12,F
Nuzvid,N230346,363,9.25,9.0,9.0,9.12,F
Nuzvid,N230358,364,9.0,9.2,8.6,9.12,F
Nuzvid,N230940,365,9.0,9.2,8.15,9.12,F
Nuzvid,N230219,366,9.0,9.0,8.95,9.12,M
Nuzvid,N231079,367,8.5,9.35,8.8,9.12,F
Nuzvid,N230901,368,9.5,8.75,8.75,9.11,M
Nuzvid,N230659,369,9.25,9.2,9.0,9.11,M
Nuzvid,N230793,370,9.0,9.2,8.6,9.11,F
Nuzvid,N231027,371,8.75,9.15,8.6,9.11,F
Nuzvid,N230830,372,8.75,8.8,8.6,9.11,F
Nuzvid,N230040,373,10.0,9.0,8.05,9.1,M
Nuzvid,N230763,374,9.75,9.0,8.6,9.1,F
Nuzvid,N230979,375,9.5,9.2,8.1,9.1,M
Nuzvid,N230444,376,9.25,9.4,9.0,9.1,M
Nuzvid,N230514,377,9.25,9.0,8.6,9.1,F
Nuzvid,N230372,378,9.25,8.75,8.3,9.1,M
Nuzvid,N230621,379,8.5,8.8,8.8,9.1,F
Nuzvid,N230265,380,8.25,9.0,8.4,9.1,F
Nuzvid,N230445,381,9.0,9.2,9.0,9.09,F
Nuzvid,N230171,382,8.75,9.0,8.8,9.09,F
Nuzvid,N231060,383,8.25,9.35,8.95,9.09,F
Nuzvid,N230181,384,9.5,9.0,8.6,9.08,F
Nuzvid,N230558,385,9.25,8.8,8.6,9.08,F
Nuzvid,N230770,386,9.0,9.8,9.2,9.08,M
Nuzvid,N230941,387,8.75,9.0,8.6,9.08,F
Nuzvid,N230460,388,8.5,8.95,8.8,9.08,M
Nuzvid,N230644,389,8.0,8.8,9.0,9.08,F
Nuzvid,N230935,390,9.0,9.4,8.65,9.07,M
Nuzvid,N230570,391,8.75,9.0,9.0,9.07,F
Nuzvid,N231023,392,8.75,8.8,8.7,9.07,M
Nuzvid,N231028,393,8.5,9.0,8.8,9.07,F
Nuzvid,N231020,394,8.25,9.4,8.9,9.07,M
Nuzvid,N230014,395,8.5,9.0,8.8,9.06,M
Nuzvid,N230494,396,8.5,8.95,8.8,9.06,F
Nuzvid,N231053,397,9.5,9.15,8.75,9.05,M
Nuzvid,N230236,398,9.25,9.0,8.4,9.05,F
Nuzvid,N230426,399,9.0,9.0,8.4,9.05,F
Nuzvid,N230498,400,8.75,9.2,8.2,9.05,M
Nuzvid,N230050,402,9.75,9.2,8.1,9.04,M
Nuzvid,N230096,403,9.5,9.0,8.6,9.04,M
Nuzvid,N230580,404,9.25,9.0,8.4,9.04,F
Nuzvid,N230176,405,9.0,9.0,8.2,9.04,F
Nuzvid,N230764,406,9.0,8.75,9.2,9.04,F
Nuzvid,N230287,407,9.0,8.6,8.4,9.04,F
Nuzvid,N230546,408,8.75,9.2,8.4,9.04,F
Nuzvid,N230753,409,8.75,9.0,8.75,9.04,M
Nuzvid,N230989,410,8.75,8.75,9.0,9.04,F
Nuzvid,N230974,411,8.5,9.1,8.0,9.04,F
Nuzvid,N230229,412,8.5,8.8,8.6,9.04,F
Nuzvid,N230280,413,9.5,9.2,8.55,9.03,M
Nuzvid,N230066,414,8.25,9.15,9.0,9.03,F
Nuzvid,N230165,415,8.0,9.0,8.6,9.03,F
Nuzvid,N230179,416,9.5,9.0,8.6,9.02,F
Nuzvid,N230928,417,9.5,9.2,8.35,9.01,M
Nuzvid,N230124,418,9.25,9.0,8.6,9.01,M
Nuzvid,N230752,419,8.75,9.0,8.4,9.01,M
Nuzvid,N230657,420,7.5,9.4,8.6,9.01,F
Nuzvid,N230333,421,9.5,9.0,7.4,9.0,F
Nuzvid,N230970,422,8.75,8.8,8.45,9.0,M
Nuzvid,N230446,423,8.5,9.0,8.8,9.0,F
Nuzvid,N230060,424,7.5,9.3,9.2,9.0,F
Nuzvid,N230086,425,9.0,9.4,8.6,8.99,M
Nuzvid,N230188,426,9.0,8.8,7.95,8.99,M
Nuzvid,N230414,427,8.75,9.1,8.4,8.99,M
Nuzvid,N230388,428,8.75,9.0,8.5,8.99,F
Nuzvid,N230214,429,8.75,8.8,8.6,8.99,F
Nuzvid,N230226,430,8.5,9.0,8.6,8.99,F
Nuzvid,N230231,431,8.5,9.0,8.6,8.99,F
Nuzvid,N230344,432,8.5,8.8,8.6,8.99,F
Nuzvid,N230757,433,9.25,8.6,8.2,8.98,F
Nuzvid,N230400,434,8.5,9.0,9.0,8.98,M
Nuzvid,N230663,435,8.0,9.15,8.95,8.98,M
Nuzvid,N231058,436,8.0,9.15,8.75,8.98,F
Nuzvid,N230340,437,8.0,9.0,8.2,8.98,F
Nuzvid,N231018,438,9.0,9.0,8.3,8.97,M
Nuzvid,N230235,439,9.0,8.4,8.35,8.97,F
Nuzvid,N230907,440,8.75,9.0,8.6,8.97,F
Nuzvid,N230863,441,8.75,8.85,8.75,8.97,M
Nuzvid,N230962,442,8.5,8.9,9.0,8.97,F
Nuzvid,N230031,443,8.5,8.55,8.4,8.97,F
Nuzvid,N231084,444,8.0,9.15,8.4,8.97,F
Nuzvid,N230283,445,7.75,8.4,8.8,8.97,M
Nuzvid,N230683,446,9.25,8.6,8.3,8.96,M
Nuzvid,N230224,447,9.0,8.6,8.4,8.96,F
Nuzvid,N230996,448,8.75,8.6,8.8,8.96,F
Nuzvid,N230827,449,7.75,9.2,8.95,8.96,M
Nuzvid,N230191,450,9.25,8.6,8.4,8.95,F
Nuzvid,N230148,451,9.0,9.2,8.6,8.95,M
